id,Image,Category
1872,https://applied-ai.gr/projects/agriculture/Corn/256/healthy/healthy-886.JPG,healthy
2203,https://applied-ai.gr/projects/agriculture/Corn/256/grey-leaf-spot/grey-leaf-spot-55.JPG,grey-leaf-spot
833,https://applied-ai.gr/projects/agriculture/Corn/256/northern-leaf-blight/northern-leaf-blight-832.JPG,northern-leaf-blight
3604,https://applied-ai.gr/projects/agriculture/Corn/256/rust/rust-943.JPG,rust
299,https://applied-ai.gr/projects/agriculture/Corn/256/northern-leaf-blight/northern-leaf-blight-298.JPG,northern-leaf-blight
2420,https://applied-ai.gr/projects/agriculture/Corn/256/grey-leaf-spot/grey-leaf-spot-272.JPG,grey-leaf-spot
2320,https://applied-ai.gr/projects/agriculture/Corn/256/grey-leaf-spot/grey-leaf-spot-172.jpg,grey-leaf-spot
2221,https://applied-ai.gr/projects/agriculture/Corn/256/grey-leaf-spot/grey-leaf-spot-73.JPG,grey-leaf-spot
2434,https://applied-ai.gr/projects/agriculture/Corn/256/grey-leaf-spot/grey-leaf-spot-286.JPG,grey-leaf-spot
1583,https://applied-ai.gr/projects/agriculture/Corn/256/healthy/healthy-597.jpg,healthy
2425,https://applied-ai.gr/projects/agriculture/Corn/256/grey-leaf-spot/grey-leaf-spot-277.JPG,grey-leaf-spot
2480,https://applied-ai.gr/projects/agriculture/Corn/256/grey-leaf-spot/grey-leaf-spot-332.JPG,grey-leaf-spot
45,https://applied-ai.gr/projects/agriculture/Corn/256/northern-leaf-blight/northern-leaf-blight-44.jpg,northern-leaf-blight
2171,https://applied-ai.gr/projects/agriculture/Corn/256/grey-leaf-spot/grey-leaf-spot-23.JPG,grey-leaf-spot
2356,https://applied-ai.gr/projects/agriculture/Corn/256/grey-leaf-spot/grey-leaf-spot-208.JPG,grey-leaf-spot
2644,https://applied-ai.gr/projects/agriculture/Corn/256/grey-leaf-spot/grey-leaf-spot-496.JPG,grey-leaf-spot
3281,https://applied-ai.gr/projects/agriculture/Corn/256/rust/rust-620.JPG,rust
1328,https://applied-ai.gr/projects/agriculture/Corn/256/healthy/healthy-342.jpg,healthy
1295,https://applied-ai.gr/projects/agriculture/Corn/256/healthy/healthy-309.jpg,healthy
3595,https://applied-ai.gr/projects/agriculture/Corn/256/rust/rust-934.JPG,rust
2359,https://applied-ai.gr/projects/agriculture/Corn/256/grey-leaf-spot/grey-leaf-spot-211.JPG,grey-leaf-spot
1467,https://applied-ai.gr/projects/agriculture/Corn/256/healthy/healthy-481.jpg,healthy
947,https://applied-ai.gr/projects/agriculture/Corn/256/northern-leaf-blight/northern-leaf-blight-946.jpg,northern-leaf-blight
1142,https://applied-ai.gr/projects/agriculture/Corn/256/healthy/healthy-156.jpg,healthy
2033,https://applied-ai.gr/projects/agriculture/Corn/256/healthy/healthy-1047.jpg,healthy
2497,https://applied-ai.gr/projects/agriculture/Corn/256/grey-leaf-spot/grey-leaf-spot-349.JPG,grey-leaf-spot
2881,https://applied-ai.gr/projects/agriculture/Corn/256/rust/rust-220.JPG,rust
71,https://applied-ai.gr/projects/agriculture/Corn/256/northern-leaf-blight/northern-leaf-blight-70.JPG,northern-leaf-blight
927,https://applied-ai.gr/projects/agriculture/Corn/256/northern-leaf-blight/northern-leaf-blight-926.JPG,northern-leaf-blight
2332,https://applied-ai.gr/projects/agriculture/Corn/256/grey-leaf-spot/grey-leaf-spot-184.JPG,grey-leaf-spot
2416,https://applied-ai.gr/projects/agriculture/Corn/256/grey-leaf-spot/grey-leaf-spot-268.JPG,grey-leaf-spot
3518,https://applied-ai.gr/projects/agriculture/Corn/256/rust/rust-857.JPG,rust
718,https://applied-ai.gr/projects/agriculture/Corn/256/northern-leaf-blight/northern-leaf-blight-717.JPG,northern-leaf-blight
1680,https://applied-ai.gr/projects/agriculture/Corn/256/healthy/healthy-694.jpg,healthy
